"Actual" "Long" "Short"
"tBodyAcc-mean()-X" "Mean Linear Acceleration on X Axis - Time" "MLAXAT"
"tBodyAcc-mean()-Y" "Mean Linear Acceleration on Y Axis - Time" "MLAYAT"
"tBodyAcc-mean()-Z" "Mean Linear Acceleration on Z Axis - Time" "MLAZAT"
"tBodyAcc-std()-X" "Std. Dev. of Linear Acceleration on X Axis - Time" "SDLAXAT"
"tBodyAcc-std()-Y" "Std. Dev. of Linear Acceleration on Y Axis - Time" "SDLAYAT"
"tBodyAcc-std()-Z" "Std. Dev. of Linear Acceleration on Z Axis - Time" "SDLAZAT"
"tGravityAcc-mean()-X" "Mean Gravity Acceleration on X Axis - Time" "MGAXAT"
"tGravityAcc-mean()-Y" "Mean Gravity Acceleration on Y Axis - Time" "MGAYAT"
"tGravityAcc-mean()-Z" "Mean Gravity Acceleration on Z Axis - Time" "MGAZAT"
"tGravityAcc-std()-X" "Std. Dev. of Gravity Acceleration on X Axis - Time" "SDGAXAT"
"tGravityAcc-std()-Y" "Std. Dev. of Gravity Acceleration on Y Axis - Time" "SDGAYAT"
"tGravityAcc-std()-Z" "Std. Dev. of Gravity Acceleration on Z Axis - Time" "SDGAZAT"
"tBodyAccJerk-mean()-X" "Mean Jerk Accleration on X Axis - Time" "MJAXAT"
"tBodyAccJerk-mean()-Y" "Mean Jerk Accleration on Y Axis - Time" "MJAYAT"
"tBodyAccJerk-mean()-Z" "Mean Jerk Accleration on Z Axis - Time" "MJAZAT"
"tBodyAccJerk-std()-X" "Std. Dev. of Jerk Accleration on X Axis - Time" "SDJAXAT"
"tBodyAccJerk-std()-Y" "Std. Dev. of Jerk Accleration on Y Axis - Time" "SDJAYAT"
"tBodyAccJerk-std()-Z" "Std. Dev. of Jerk Accleration on Z Axis - Time" "SDJAZAT"
"tBodyGyro-mean()-X" "Mean Angular Velocity on X Axis - Time" "MAVXAT"
"tBodyGyro-mean()-Y" "Mean Angular Velocity on Y Axis - Time" "MAVYAT"
"tBodyGyro-mean()-Z" "Mean Angular Velocity on Z Axis - Time" "MAVZAT"
"tBodyGyro-std()-X" "Std. Dev. of Angular Velocity on X Axis - Time" "SDAVXAT"
"tBodyGyro-std()-Y" "Std. Dev. of Angular Velocity on Y Axis - Time" "SDAVYAT"
"tBodyGyro-std()-Z" "Std. Dev. of Angular Velocity on Z Axis - Time" "SDAVZAT"
"tBodyGyroJerk-mean()-X" "Mean Jerk Angular Velocity on X Axis - Time" "MJAVXAT"
"tBodyGyroJerk-mean()-Y" "Mean Jerk Angular Velocity on Y Axis - Time" "MJAVYAT"
"tBodyGyroJerk-mean()-Z" "Mean Jerk Angular Velocity on Z Axis - Time" "MJAVZAT"
"tBodyGyroJerk-std()-X" "Std. Dev. of Jerk Angular Velocity on X Axis - Time" "SDJAVXAT"
"tBodyGyroJerk-std()-Y" "Std. Dev. of Jerk Angular Velocity on Y Axis - Time" "SDJAVYAT"
"tBodyGyroJerk-std()-Z" "Std. Dev. of Jerk Angular Velocity on Z Axis - Time" "SDJAVZAT"
"tBodyAccMag-mean()" "Mean Magnitude of Linear Accleration - Time" "MMLAT"
"tBodyAccMag-std()" "Std. Dev. of Magnitude of Linear Accleration - Time" "SDMLAT"
"tGravityAccMag-mean()" "Mean Magnitude of Gravity Accleration - Time" "MMGAT"
"tGravityAccMag-std()" "Std. Dev. of Magnitude of Gravity Accleration - Time" "SDMGAT"
"tBodyAccJerkMag-mean()" "Mean Magnitude of Jerk Accleration - Time" "MMJAT"
"tBodyAccJerkMag-std()" "Std. Dev. of Magnitude of Jerk Accleration - Time" "SDMJAT"
"tBodyGyroMag-mean()" "Mean Magnitude of Angular Velocity - Time" "MMAVT"
"tBodyGyroMag-std()" "Std. Dev. of Magnitude of Angular Velocity - Time" "SDMAVT"
"tBodyGyroJerkMag-mean()" "Mean Magnitude of Jerk Angular Velocity - Time" "MMJAVT"
"tBodyGyroJerkMag-std()" "Std. Dev. of Magnitude of Jerk Angular Velocity - Time" "STMJAVT"
"fBodyAcc-mean()-X"  "Mean Linear Acceleration on X Axis - Frequency" "MLAXAF"
"fBodyAcc-mean()-Y" "Mean Linear Acceleration on Y Axis - Frequency" "MLAYAF"
"fBodyAcc-mean()-Z" "Mean Linear Acceleration on Z Axis - Frequency" "MLAZAF"
"fBodyAcc-std()-X" "Std. Dev. of Linear Acceleration on X Axis - Frequency" "SDLAXAF"
"fBodyAcc-std()-Y" "Std. Dev. of Linear Acceleration on Y Axis - Frequency" "SDLAYAF"
"fBodyAcc-std()-Z" "Std. Dev. of Linear Acceleration on Z Axis - Frequency" "SDLAZAF"
"fBodyAccJerk-mean()-X" "Mean Jerk Acceleration on X Axis - Frequency" "MJAXAF"
"fBodyAccJerk-mean()-Y" "Mean Jerk Acceleration on Y Axis - Frequency" "MJAYAF"
"fBodyAccJerk-mean()-Z" "Mean Jerk Acceleration on Z Axis - Frequency" "MJAZAF"
"fBodyAccJerk-std()-X" "Std. Dev. of Jerk Acceleration on X Axis - Frequency" "SDJAXAF"
"fBodyAccJerk-std()-Y" "Std. Dev. of Jerk Acceleration on Y Axis - Frequency" "SDJAYAF"
"fBodyAccJerk-std()-Z" "Std. Dev. of Jerk Acceleration on Z Axis - Frequency" "SDJAZAF"
"fBodyGyro-mean()-X" "Mean Angular Velocity on X Axis - Frequency" "MAVXAF"
"fBodyGyro-mean()-Y" "Mean Angular Velocity on Y Axis - Frequency" "MAVYAF"
"fBodyGyro-mean()-Z" "Mean Angular Velocity on Z Axis - Frequency" "MAVZAF"
"fBodyGyro-std()-X" "Std. Dev. of Angular Velocity on X Axis - Frequency" "SDAVXAF"
"fBodyGyro-std()-Y" "Std. Dev. of Angular Velocity on Y Axis - Frequency" "SDAVYAF"
"fBodyGyro-std()-Z" "Std. Dev. of Angular Velocity on Z Axis - Frequency" "SDAVZAF"
"fBodyAccMag-mean()" "Mean Magnitude of Linear Acceleration - Frequency" "MMLAF"
"fBodyAccMag-std()" "Std. Dev. of Magnitude of Linear Acceleration - Frequency" "SDMLAF"
"fBodyBodyAccJerkMag-mean()" "Mean Magnitude of Jerk Acceleration - Frequency" "MMJAF"
"fBodyBodyAccJerkMag-std()" "Std. Dev. of Magnitude of Jerk Acceleration - Frequency" "SDMJAF"
"fBodyBodyGyroMag-mean()" "Mean Magnitude of Angular Velocity - Frequency" "MMAVF"
"fBodyBodyGyroMag-std()" "Std. Dev. of Magnitude of Angular Velocity - Frequency" "SDMAVF"
"fBodyBodyGyroJerkMag-mean()" "Mean Magnitude of Jerk Angular Velocity - Frequency" "MMJAVF"
"fBodyBodyGyroJerkMag-std()" "Std. Dev. of Magnitude of Jerk Angular Velocity - Frequency" "SDMJAVF"
"id" "id" "id"
"label" "label" "label"
"subject" "subject" "subject"
